Bkg Branch,Delivery Branch,Card Rate,,,,
AMBERNATH,MIRA ROAD,3.03,,,,
AMBERNATH,BHOPAL,6.33,,,,
AMBERNATH,GOREGOAN,3.3,,,,
AMBERNATH,AGRA,10.51,,,,
AMBERNATH,INDORE CITY,5.45,,,,
AMBERNATH,RUDRAPUR,9.02,,,,
AMBERNATH,VASAI EAST,3.03,,,,
AMBERNATH,KHED SHIVAPUR,5.21,,,,
AMBERNATH,BARODA - KARELIBAUG,3.3,,,,
AMBERNATH,KARAD,7.1,,,,
AMBERNATH,PEENYA,8.14,,,,
AMBERNATH,KALAMASSERY,11.61,,,,
AMBERNATH,UDAIPUR,5.01,,,,
AMBERNATH,VAPI DELIVERY,2.04,,,,
AMBERNATH,BROADWAY - CHENNAI,9.3,,,,
AMBERNATH,SARANGPUR,3.63,,,,
AMBERNATH,ODHAV,3.63,,,,
AMBERNATH,RAKHIAL,3.63,,,,
AMBERNATH,PITHAMPUR,5.72,,,,
AMBERNATH,JAMMU,13.59,,,,
AMBERNATH,BHARUCH,3.41,,,,
AMBERNATH,BHARUCH,3.41,,,,
AMBERNATH,DAMAN DELIVERY UT,2.42,,,,
AMBERNATH,DAMAN DELIVERY UT,2.42,,,,
ANDHERI,VATVA,3.47,,,,
ANDHERI,HIMATNAGAR,3.91,,,,
ANDHERI,HOSUR,8.75,,,,
ANDHERI,RAKHIAL,3.63,,,,
ANDHERI,MADURAVOYIL DELIVERY,8.75,,,,
ANDHERI,DELHI (RAMA ROAD),6.99,,,,
ANDHERI,UMARGAON,2.09,,,,
ANDHERI,MUNDRA,4.73,,,,
ANDHERI,MUNDRA,4.73,,,,
ANDHERI,HIMATNAGAR,3.91,,,,
ANDHERI,MAKARPURA,3.63,,,,
ANDHERI,JAMMU,11.94,,,,
ANDHERI,TIRUNELVELI,12.76,,,,
ANDHERI,NADIAD,3.63,,,,
ANDHERI,RAKHIAL,3.63,,,,
ANDHERI,ODHAV,3.63,,,,
ANDHERI,GHAZIABAD,7.26,,,,
ANDHERI,BHANGEL,7.26,,,,
ANDHERI,PALI,7.92,,,,
ANDHERI,AJMER,9.02,,,,
ANDHERI,AJMER,9.02,,,,
ANDHERI,DASHRATH,3.63,,,,
ANDHERI,BHAKTINAGAR,3.63,,,,
ANDHERI,RAJAJINAGAR,8.42,,,,
ANDHERI,SARANGPUR,3.63,,,,
ANDHERI,LASUDIA,4.57,,,,
ANDHERI,ROORKEE,8.14,,,,
ANDHERI,DAHANU,4.46,,,,
ANDHERI,NIGDI,4.73,,,,
ANDHERI,SACHIN,2.81,,,,
ANDHERI,HALOL (GIDC),3.63,,,,
ANDHERI,GOBLEJ BKG & DLY,3.3,,,,
ANDHERI,THIRUBHUVANAI,10.07,,,,
ANDHERI,CHAKAN CENTRAL CELL,4.73,,,,
ANDHERI,DELHI (RAMA ROAD),6.99,,,,
ANDHERI,DELHI (RAMA ROAD),6.99,,,,
ANDHERI,VAPI DELIVERY,1.6,,,,
ANDHERI,VAPI DELIVERY,1.6,,,,
ANDHERI,KATHWADA,3.74,,,,
ANDHERI,RAIPUR,8.2,,,,
ANDHERI,AGRA,9.35,,,,
ANDHERI,BOISAR,3.3,,,,
ANDHERI,ANKLESHWAR,2.31,,,,
ANDHERI,GONDHE,3.63,,,,
ANDHERI,SHAPAR,3.91,,,,
ANDHERI,BROADWAY - CHENNAI,9.02,,,,
ANDHERI,VAPI DELIVERY,1.6,,,,
ANDHERI,PARDI,2.31,,,,
ANDHERI,MEHSANA (N.G.),4.02,,,,
ANDHERI,MAKARPURA,3.63,,,,
ANDHERI,ANKLESHWAR,2.31,,,,
ANDHERI,MANJUSAR,3.63,,,,
ANDHERI,KARNAL,8.14,,,,
ANDHERI,HARIDWAR,7.87,,,,
ANDHERI,LUCKNOW,9.9,,,,
ANDHERI,BOISAR,3.3,,,,
ANDHERI,PIRANGUT,4.73,,,,
ANDHERI,CHHATRAL (N.G.),3.3,,,,
ANDHERI,CHHATRAL (N.G.),3.3,,,,
ANDHERI,SANAND,3.63,,,,
ANDHERI,HOSUR,8.75,,,,
ANDHERI,LASUDIA,4.57,,,,
ANDHERI,SURAT CITY,3.3,,,,
ANDHERI,LUDHIANA,8.75,,,,
ANDHERI,CHANGODAR,3.85,,,,
ANDHERI,BHUJ,4.46,,,,
ANDHERI,NIGDI,4.73,,,,
ANDHERI,TALEGAON (BKG & DLY),4.73,,,,
ANDHERI,DAPODA,3.63,,,,
ANDHERI,PANOLI,3.03,,,,
ANDHERI,VAPI DELIVERY,1.6,,,,
ANDHERI,BELGAUM,7.87,,,,
ANDHERI,SAROLI,2.81,,,,
ANDHERI,RATNAGIRI,8.2,,,,
ANDHERI,SILVASSA,2.15,,,,
ANDHERI,KANAKAPURA ROAD - BNG,8.42,,,,
ANDHERI,BARODA - KARELIBAUG,3.63,,,,
ANDHERI,MUNDRA,4.73,,,,
ANDHERI,ASLALI BRANCH,3.47,,,,
ANDHERI,SURAT CITY,3.3,,,,
ANDHERI,SHIRVAL,5.01,,,,
ANDHERI,PADRA (DHABASA),3.63,,,,
ANDHERI,DAHEJ,4.18,,,,
ANDHERI,LASUDIA,4.57,,,,
ANDHERI,GHAZIABAD,7.26,,,,
ANDHERI,CHHATRAL (N.G.),3.3,,,,
ANDHERI,VATVA,3.47,,,,
ANDHERI,UMARGAON,2.09,,,,
ANDHERI,UMARGAON,2.09,,,,
ANDHERI,CHANGODAR,3.85,,,,
ANDHERI,K R PURAM,8.42,,,,
ANDHERI,V V NAGAR,3.63,,,,
ANDHERI,MAKARPURA,3.63,,,,
ANDHERI,HOSKOTE,8.42,,,,
ANDHERI,SARKHEJ,3.63,,,,
ANDHERI,KOLKATA(B T ROAD),11.33,,,,
ANDHERI,VATVA,3.47,,,,
ANDHERI,MUNDRA,4.73,,,,
ANDHERI,DELHI (RAMA ROAD),6.99,,,,
ANDHERI,KARNAL,8.14,,,,
ANDHERI,AJMER,9.02,,,,
ANDHERI,DELHI (RAMA ROAD),6.99,,,,
ANDHERI,LALBAGH ROAD,8.42,,,,
ANDHERI,KUNDLI BRANCH,7.26,,,,
ANDHERI,UDAIPUR,5.83,,,,
ANDHERI,CHHATRAL (N.G.),3.3,,,,
ANDHERI,ANKLESHWAR,2.31,,,,
ANDHERI,ANKLESHWAR,2.31,,,,
